2022-12-04 16:34:05.483526,INFO,WAIT,Check timed command
2022-12-04 16:34:05.531576,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:05.562937,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:05.627135,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:05.691548,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:05.723988,INFO,WAIT,Wait mode end -> HKDL_MODE
2022-12-04 16:34:05.771035,DEBUG,BUSY status 0
2022-12-04 16:34:05.867321,DEBUG,Create Mission downlink to Transmit CPU
2022-12-04 16:34:05.915682,DEBUG,24 4D 30 30 30 30 30 30 30 30 30 30 30 30 64 3B 
2022-12-04 16:34:05.963239,DEBUG,Order Mission downlink to Transmit CPU
2022-12-04 16:34:06.027389,DEBUG,24 4D 30 30 30 30 30 30 30 30 30 30 30 30 64 3B 
2022-12-04 16:34:07.051064,DEBUG,RESEND status 0
2022-12-04 16:34:07.084135,DEBUG,MDL,page=0 block=0 sector=0 unit=0
2022-12-04 16:34:07.115697,DEBUG,MDL,Address = 0
2022-12-04 16:34:07.163092,INFO,MDL,Mission downlink mode ended -> WAIT_MODE
2022-12-04 16:34:07.196133,INFO,WAIT,Wait mode has started
2022-12-04 16:34:07.227359,INFO,WAIT,Check low power
2022-12-04 16:34:07.259998,INFO,WAIT,Check timed command
2022-12-04 16:34:07.291895,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:07.339951,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:07.403091,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:07.452048,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:08.491933,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:08.540362,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:08.588539,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:08.636460,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:08.700342,INFO,WAIT,Check low power
2022-12-04 16:34:08.732472,INFO,WAIT,Check timed command
2022-12-04 16:34:08.780022,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:08.827555,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:08.876156,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:08.940157,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:09.980169,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:10.027935,INFO,MDR,Mission data record mode has started
2022-12-04 16:34:10.076571,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:10.124673,INFO,MDR,Mission data record mode ended -> WAIT_MODE
2022-12-04 16:34:10.188147,INFO,WAIT,Check low power
2022-12-04 16:34:10.252447,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:10.300854,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:10.364339,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:10.413391,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:11.453403,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:11.548524,INFO,MDR,Record data for 0 sec. (dt=0 sec.)
2022-12-04 16:34:11.644087,INFO,WAIT,Wait mode has started
2022-12-04 16:34:11.692785,INFO,WAIT,Check timed command
2022-12-04 16:34:11.740748,INFO,WAIT,Check receiving uplink command
2022-12-04 16:34:11.788098,INFO,WAIT,Check antenna deployment status
2022-12-04 16:34:11.837072,DEBUG,ANT_IDX=0	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:11.900862,DEBUG,ANT_IDX=1	deplyed_flag=1	wait_flag=1	ant_status=1
2022-12-04 16:34:12.941020,INFO,WAIT,Wait mode end -> WAIT_MODE
2022-12-04 16:34:12.988416,INFO,MDR,Mission data record mode has started
